"Town","FIPS","Year","Utility","Name","Telephone","Website"
"Andover","0901301080","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Ansonia","0900901220","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Ashford","0901501430","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Avon","0900302060","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Barkhamsted","0900502760","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Beacon Falls","0900903250","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Berlin","0900304300","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bethany","0900904580","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bethel","0900104720","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bethlehem","0900504930","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bloomfield","0900305910","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bolton","0901306260","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bozrah","0901106820","2016","Electric","Bozrah Light & Power/Groton Utilities","(860) 446-4000","www.grotonutilities.com/electric_bozrah.asp"
"Branford","0900907310","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bridgeport","0900108070","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Bridgewater","0900508210","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bristol","0900308490","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Brookfield","0900108980","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Brooklyn","0901509190","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Burlington","0900310100","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Canaan","0900510940","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Canterbury","0901512130","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Canton","0900312270","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Chaplin","0901513810","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Cheshire","0900914160","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Chester","0900714300","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Clinton","0900715350","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Colchester","0901115910","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Colebrook","0900516050","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Columbia","0901316400","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Cornwall","0900517240","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Coventry","0901317800","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Cromwell","0900718080","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Danbury","0900118500","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Darien","0900118850","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Deep River","0900719130","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Derby","0900919550","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Durham","0900720810","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Eastford","0901521860","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"East Granby","0900322070","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"East Haddam","0900722280","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"East Hampton","0900722490","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"East Hartford","0900322630","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"East Haven","0900922910","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
