"Town","FIPS","Year","Utility","Name","Telephone","Website"
"Andover",901301080,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Andover",901301080,2016,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Andover",901301080,2016,"Water","Municipal Provider","Local Contact","-666666"
"Andover",901301080,2016,"Sewer","-666666","-666666","-666666"
"Andover",901301080,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Andover",901301080,2016,"Cable","Comcast Vernon","(800) 266-2278","-666666"
"Andover",901301080,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Andover",901301080,2018,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Andover",901301080,2018,"Water","Municipal Provider","Local Contact","-666666"
"Andover",901301080,2018,"Sewer","-666666","-666666","-666666"
"Andover",901301080,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Andover",901301080,2018,"Cable","Comcast Vernon","(800) 266-2278","-666666"
"Ansonia",900901220,2016,"Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Ansonia",900901220,2016,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Ansonia",900901220,2016,"Water","Birmingham Utilities","(203) 735-1888","-666666"
"Ansonia",900901220,2016,"Sewer","City of Ansonia","(203) 736-5945","-666666"
"Ansonia",900901220,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Ansonia",900901220,2016,"Cable","Comcast Seymour","(800) 266-2278","-666666"
"Ansonia",900901220,2018,"Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Ansonia",900901220,2018,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Ansonia",900901220,2018,"Water","Birmingham Utilities","(203) 735-1888","-666666"
"Ansonia",900901220,2018,"Sewer","City of Ansonia","(203) 736-5945","-666666"
"Ansonia",900901220,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Ansonia",900901220,2018,"Cable","Comcast Seymour","(800) 266-2278","-666666"
"Ashford",901501430,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Ashford",901501430,2016,"Gas","-666666","-666666","-666666"
"Ashford",901501430,2016,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Ashford",901501430,2016,"Sewer","-666666","-666666","-666666"
"Ashford",901501430,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Ashford",901501430,2016,"Cable","Charter Communications of Northeastern CT","(800) 827-8288","-666666"
"Ashford",901501430,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Ashford",901501430,2018,"Gas","-666666","-666666","-666666"
"Ashford",901501430,2018,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Ashford",901501430,2018,"Sewer","-666666","-666666","-666666"
"Ashford",901501430,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Ashford",901501430,2018,"Cable","Charter Communications of Northeastern CT","(800) 827-8288","-666666"
"Avon",900302060,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Avon",900302060,2016,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Avon",900302060,2016,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Avon",900302060,2016,"Sewer","-666666","-666666","-666666"
"Avon",900302060,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Avon",900302060,2016,"Cable","Comcast Plainville","(800) 266-2278","-666666"
"Avon",900302060,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Avon",900302060,2018,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Avon",900302060,2018,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Avon",900302060,2018,"Sewer","-666666","-666666","-666666"
"Avon",900302060,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Avon",900302060,2018,"Cable","Comcast Plainville","(800) 266-2278","-666666"
"Barkhamsted",900502760,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Barkhamsted",900502760,2016,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Barkhamsted",900502760,2016,"Water","Municipal Provider","Local Contact","-666666"
"Barkhamsted",900502760,2016,"Sewer","-666666","-666666","-666666"
"Barkhamsted",900502760,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Barkhamsted",900502760,2016,"Cable","Charter Communications of Western CT","(800) 827-8288","-666666"
"Barkhamsted",900502760,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Barkhamsted",900502760,2018,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Barkhamsted",900502760,2018,"Water","Municipal Provider","Local Contact","-666666"
"Barkhamsted",900502760,2018,"Sewer","-666666","-666666","-666666"
"Barkhamsted",900502760,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Barkhamsted",900502760,2018,"Cable","Charter Communications of Western CT","(800) 827-8288","-666666"
"Beacon Falls",900903250,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Beacon Falls",900903250,2016,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Beacon Falls",900903250,2016,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Beacon Falls",900903250,2016,"Sewer","Town of Beacon Falls Water Pollution Cntrl","(203) 729-2926","-666666"
"Beacon Falls",900903250,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Beacon Falls",900903250,2016,"Cable","Comcast Seymour","(800) 266-2278","-666666"
